Name,Year,IMDb Rating,Genre,Director,Duration (mins),Language,Box Office (Millions),Production Company,Lead Actor,Lead Actress,Country,Number of Votes,Budget (Millions),Is Sequel
Think area strategy,1988,7.4,Comedy,Steven Woodward,163,Korean,535.86,Salazar-Dunlap,Sherry Foley,Jason Murray,Sudan,419416,30.7,False
Our pressure,2021,2.3,Fantasy,Clayton Horn,122,Hindi,226.08,"Wright, Craig and Wilkins",Daniel Lee,Jennifer Mendez,Moldova,504184,264.49,False
Miss from civil people,1994,4.4,Thriller,Monique Herring,152,Spanish,94.91,Brown-Perez,William Hall,Teresa Rodriguez,Israel,26380,132.82,True
Must election discover,1989,3.9,Drama,Rebecca Singleton,146,English,70.53,Thompson PLC,Francisco Foster,Ronald Day,Cocos (Keeling) Islands,711096,17.94,True
Bar,2016,4.5,Action,Angel Montgomery,98,German,214.18,Butler and Sons,Dawn Foster,Amanda Thomas,Finland,804945,55.69,False
Into,2006,5.6,Sci-Fi,Darren Terry,139,Japanese,860.08,Smith-Cordova,Kelly Cummings,Adrian Collins,Cayman Islands,923350,238.1,True
Trade,2011,9.0,Comedy,Mr. Anthony Owen,157,Korean,100.83,Brown-Stevens,Alicia Schwartz,Laura Morales,Congo,508001,74.99,False
Require number mean,1990,4.3,Sci-Fi,Natalie Cunningham,132,German,604.23,"Sanders, Charles and Davis",Patrick Torres,Stacy Torres,France,584842,231.59,True
Tonight wind ok,1981,7.6,Drama,Mark Singh,149,English,839.49,Young Ltd,Daniel Williams,Nicole Evans,Croatia,804099,54.11,True
Garden part training,2004,5.9,Sci-Fi,Jon Allen,135,Spanish,424.92,"Montgomery, Brewer and Cline",Michelle Jackson,Sydney Allen,Poland,913583,51.61,False
Yet herself,1991,9.3,Thriller,Matthew Underwood,132,Hindi,134.7,Rosario PLC,Anthony Crawford,Alexis Eaton,Singapore,75525,132.47,False
East these,2003,8.0,Action,Mr. Matthew Tanner MD,153,French,994.44,"Moses, Johnson and Cox",Ivan Mcgee,Barbara Harris,Benin,427127,156.48,True
Miss something,1974,3.5,Sci-Fi,Michael Bauer,160,Japanese,502.06,Johnson-Stephenson,Robert Gray,Eric Johnson,Cayman Islands,129368,55.86,True
Government who,2024,6.8,Fantasy,Patrick Tucker,176,Korean,672.39,Lambert LLC,Daniel Scott,William Wilson,Italy,303852,207.54,False
Man test coach,2023,9.9,Animation,Anna Brown,149,Korean,296.25,"Stephens, Romero and Simon",Daniel King,Russell Wilson,Maldives,404790,243.25,True
Time white those,1973,8.9,Action,Sharon Hopkins,95,German,953.4,"Harris, Alexander and French",James Case,Aaron Stewart,New Caledonia,571718,64.62,True
Check into way,1987,3.9,Drama,Sarah Duncan,83,French,905.25,Davidson PLC,John Smith,Deanna Brown,Samoa,353487,32.01,True
List bad,2016,3.2,Mystery,Christina Benitez,156,German,711.56,Johnson-Young,Miranda Flores,Curtis Ryan,Guyana,405868,16.0,True
Billion keep stay,2022,3.4,Thriller,Heather Wolf,82,Hindi,498.79,"Barrett, Parsons and Wood",Mrs. Adriana King,Brianna James,Armenia,131923,7.48,False
Own piece,2000,9.6,Mystery,Charles Harrington,122,Hindi,915.69,"Foster, Silva and Bartlett",Benjamin Jones,Collin Long,Swaziland,652952,46.38,False
Usually want,1999,5.1,Comedy,Melissa Jackson,122,French,398.04,Berry PLC,Jennifer Hernandez,Taylor Bright,Timor-Leste,764130,122.42,True
Take produce recent,2017,6.1,Romance,Joshua Ramos,136,Japanese,340.53,Chaney-Myers,Shane Walker,Michael Morris,Dominica,781944,98.08,True
Century happen,2004,3.8,Drama,Mark Singh,105,French,277.06,Combs Inc,Krista Peck,Natasha Chapman,Cape Verde,16945,34.17,False
Everyone imagine gas,1978,5.2,Sci-Fi,Patricia Vaughn,160,French,330.42,Carney PLC,Daisy Davis,Robert King,Senegal,295206,226.88,True
Particular direction these,1991,4.2,Romance,Elizabeth Cervantes,120,Korean,812.5,Chapman LLC,Jeremy Campbell,Steven Parrish,Saint Pierre and Miquelon,492775,148.68,True
Trip exist drug,2015,5.0,Horror,Clayton Horn,140,Japanese,800.02,Watkins-English,Amy Jimenez,Tina Guerra,Ukraine,300118,258.05,False
Accept theory floor,1979,7.9,Action,Joyce Brown,131,German,95.65,"Davis, Williamson and Mccall",Steven Nichols,Julia Carter,Zimbabwe,912882,6.16,False
Forget include stand,1998,4.8,Romance,Jorge Diaz,177,Mandarin,595.02,Hayes-Butler,John Garcia,Jessica Long,Qatar,206781,270.87,True
Back PM fill often,1971,9.3,Action,Kyle Taylor,177,French,62.3,Miller LLC,Alicia Lawrence,Julie Miller,Suriname,548627,81.0,True
Drug should growth way,2010,1.5,Comedy,Heather Wolf,174,Spanish,11.6,Baker Ltd,Christopher Rojas,Michele Martinez,Ethiopia,444830,4.14,True
Store rest we,1987,5.7,Action,Jon Allen,81,English,797.66,"Bowen, Hill and Rodriguez",Sandra Clarke,David Morgan,Namibia,607796,169.78,True
Third practice picture,2018,8.7,Horror,Christine Williams,154,Korean,34.88,Allen Ltd,Deborah Fletcher,Ethan Ruiz,Uzbekistan,680303,48.85,True
Commercial offer,2024,3.3,Mystery,Gabrielle Oneill,172,Korean,613.38,"Harris, Bauer and Maldonado",Steven Fisher,Shaun Deleon,Isle of Man,14855,215.62,False
Blood daughter base,1991,8.1,Action,Elizabeth Cervantes,126,French,770.44,Sanders-Cox,Tonya Cruz,Dawn Gregory,Kuwait,423499,249.46,True
Other brother international,1994,7.0,Fantasy,Sandra Dickerson,177,Korean,654.28,Greene-Johnson,Brian Moore,Ryan Harvey,Nauru,276033,13.77,True
Business wife believe,2024,4.1,Action,Jessica Jones,157,German,205.71,Lucero-Carlson,Renee Larson,Deborah Adams,Myanmar,207038,69.47,False
Hear affect remember,2023,6.7,Thriller,Connie Graham,84,Korean,255.37,Bates-Rosario,Kerry Smith,Zachary Bond,Chile,651625,234.9,True
Usually pick when,1995,9.8,Drama,Mr. Anthony Owen,129,French,143.35,Lewis PLC,Jared Reynolds,Timothy Smith,Switzerland,804685,39.67,False
Catch black,2017,9.2,Comedy,Catherine Williams,108,Korean,869.65,Smith-Savage,Kevin Thompson,Jocelyn Fernandez MD,Serbia,974974,175.35,True
Eight well too,1983,9.6,Animation,Daniel Carter,105,German,510.87,"Craig, Evans and Price",Laura Heath,Jocelyn Lee,India,252426,22.62,False
Look than,1986,8.4,Mystery,Denise Vargas,172,Hindi,354.0,"Drake, Bailey and George",Jennifer West,Dustin Cunningham,Bhutan,260996,187.02,False
Policy happy drop,2008,9.4,Animation,Brian Coleman,170,Japanese,338.04,"Hall, Nguyen and Spencer",Jose Harrison,Melanie Anderson,Malaysia,978509,293.64,True
Low detail,2014,9.7,Comedy,Gabrielle Oneill,107,German,145.81,Kelley Group,Gabriel Cook,Susan Howell,Iraq,224892,38.74,False
Night though,1976,9.4,Fantasy,Denise Larsen,108,Mandarin,727.29,"Baker, Hall and Nguyen",Mary Lewis,Kenneth Burgess,Kyrgyz Republic,936290,153.97,True
Policy time,1987,2.9,Drama,Charles Evans,101,German,466.13,Taylor-Welch,Laura Fernandez,Christopher Leon,Vanuatu,611987,92.82,True
Method into eight strategy,1993,1.3,Comedy,Michael Bauer,108,Hindi,540.6,Hopkins Inc,Loretta Price,William Gallagher,Turks and Caicos Islands,487130,96.97,False
Stock,1980,4.5,Comedy,Allison Miller,169,Korean,103.33,Blanchard-Jones,Christopher Pope,Eugene Yoder,Finland,102981,151.99,False
Artist tend,1973,6.9,Comedy,Miguel Adkins,83,Korean,254.92,"Harmon, Smith and Garza",James Mccann,Jason Brown,Belgium,89278,82.42,False
Mother fact,2017,5.0,Horror,Emily Doyle,156,Mandarin,989.88,"Zamora, Johnson and Turner",Joshua Scott,Wendy Garcia,Jordan,487329,227.66,False
Should network rule,2021,8.7,Romance,Miguel Adkins,116,French,846.96,Hart-Huerta,Kathleen Hancock,Gregory Hall,Guyana,911790,277.78,False
Sport,1980,1.3,Mystery,Christina Benitez,105,Mandarin,794.03,Glover-Shepard,James Walker,Matthew Simon,Lao People's Democratic Republic,316299,220.64,False
Field fish,1994,6.6,Horror,Benjamin Holt,145,Japanese,482.52,"Byrd, Shaw and Miller",Melissa Baxter DDS,Michael Cuevas,Liechtenstein,722901,228.73,False
Audience job pass stand,2005,1.5,Animation,Anthony Pierce,179,Japanese,664.94,Harrison-Greer,Dr. Brian Brooks III,Mary Warren,Norfolk Island,852967,282.9,False
Boy blood who visit,2018,2.3,Mystery,Diana Allen,100,German,177.43,"Mcdonald, Robertson and Jones",Preston Collins,David Fletcher,Nepal,284262,112.31,False
No key,2011,8.6,Horror,Michael Gonzales,171,Hindi,195.01,"Price, Galloway and Solis",Ms. Madison Marshall,Susan Martinez,Macedonia,173581,21.8,True
Activity newspaper,1979,7.6,Animation,Christine Thompson,164,Mandarin,6.63,Cross LLC,Martin Boyd,Marcus King,Jordan,78739,27.97,False
Upon near,1989,1.0,Horror,Mark Newman,105,Hindi,166.32,Miller-Baker,Misty Martin,Sean Johnson,Puerto Rico,364029,55.92,False
Serve real,2003,9.4,Animation,Joseph Bailey,160,Mandarin,417.5,Irwin Group,Brendan Davis,Makayla Mcgee,Luxembourg,210628,257.09,True
Suffer station,2004,3.8,Drama,Jennifer Mejia,158,Mandarin,936.81,"Carlson, Davis and Romero",Elizabeth Mitchell,Roger Sullivan,Peru,588298,163.69,True
Believe since,2020,7.4,Sci-Fi,Matthew Underwood,171,English,412.45,Campbell Group,Julie Ellis,Douglas Cruz,Congo,139668,283.33,True
Budget year easy,1993,8.4,Romance,Alyssa Crosby,178,German,241.14,Wilson Inc,Stephanie Martin,Julia Miller,Jersey,773084,250.65,False
Inside,2006,7.1,Action,Dr. David Schwartz,88,German,611.33,Fletcher PLC,Michael Alexander,Deborah Chase,United Arab Emirates,858010,290.03,False
Room,2003,5.2,Animation,Michael Bauer,134,French,81.93,Cherry and Sons,Robert Roberts,Timothy Hall,Tajikistan,19049,90.37,False
The quite,1990,1.4,Drama,Sarah Duncan,153,German,424.12,"Ballard, Bennett and Cox",Dr. Tony Bell,Yesenia Martin MD,Ghana,540933,6.88,False
Hold control,2012,7.4,Romance,Charles Conrad,142,Japanese,769.36,"Stone, King and Webb",Joshua Clark,Meghan Peters,Tunisia,98125,37.94,True
Dream community,2020,3.6,Horror,Tracy Freeman,157,French,728.84,Santos-Hernandez,Gregory Hall,Tammy Johnson,France,952417,88.39,False
Who suddenly those,2021,5.8,Drama,Cody Wolf,167,German,806.34,York and Sons,Sheila Newman,Kevin Martin,Hong Kong,268219,128.9,True
Between finish,2011,5.9,Action,William Lee,135,French,283.73,"Montgomery, Cochran and Stephens",Craig Mann DDS,Donna Delgado,Turkey,418997,15.72,True
Fast western understand,1981,1.5,Thriller,Sandra Smith,105,French,382.15,"Jackson, Thomas and Nguyen",Megan Smith,Jason Hanson,Myanmar,490442,257.51,True
Moment mind,1995,5.7,Romance,Dennis Potter,89,Hindi,950.48,"Williams, Huynh and Miller",Jacob Parker,Angela Benson,Spain,685626,61.31,True
So arm,1974,3.0,Sci-Fi,Christine Thompson,137,German,173.05,"Bell, Williams and Calhoun",Jennifer Archer,Howard Moran,South Africa,774818,17.02,True
Among policy,1987,3.5,Romance,Natalie Cunningham,100,Korean,892.9,Huang-Shepard,Mr. Jeremy Martin,Crystal Hamilton,Mauritius,745934,137.5,False
Stock big suggest,1999,6.5,Animation,Michael Hill,86,French,291.48,Wallace-Kent,Nichole Briggs,Cheryl Salazar,United States of America,2564,291.33,True
Under yard such,1978,8.5,Fantasy,Sarah Duncan,147,English,552.33,Miranda PLC,Martin Gordon,Kristen Stevens,Gambia,448380,189.34,False
Maybe than American,1977,4.0,Fantasy,Alison Mccoy,93,German,703.27,Horton Inc,Peter Sanford,Fred Wood,Bahrain,901479,250.58,False
Remember modern travel,1998,2.7,Thriller,Alyssa Crosby,84,Japanese,860.92,Barnett-Dean,Jerry Mitchell,Gilbert Lopez,Pakistan,90398,51.96,True
Beyond far about,1993,8.8,Fantasy,Jon Allen,120,Korean,374.0,Wheeler-Williamson,Joseph Dunn,Daniel Wilson,Uganda,451229,56.37,False
Positive assume,1993,9.9,Fantasy,Jorge Diaz,94,Mandarin,213.72,Mills Inc,Rhonda Bowen,Ronald Hughes,Benin,326533,283.55,False
Ask would available,1987,8.3,Fantasy,Anthony Gomez,83,Japanese,716.72,Lawson Group,Patrick Mccoy,Thomas Duncan,Dominican Republic,48720,186.19,False
Thought new,2000,3.2,Sci-Fi,Denise Vargas,154,French,607.06,"Davidson, Lin and Holland",Virginia Lester,Carolyn White,Russian Federation,767664,125.31,False
Everybody college care,2019,1.9,Comedy,Russell Palmer,110,English,990.22,Hall PLC,Christopher Good,James Williams,Cyprus,255086,159.91,False
Occur,2014,6.2,Animation,Mr. Anthony Owen,120,Mandarin,15.01,Curtis Group,Karen Newman,Andre Hall,Chad,167166,268.16,False
Yes politics suffer,2024,4.4,Mystery,David Sharp,125,French,194.68,"Walker, Owen and Barrett",Timothy Hubbard,Jared Brooks,New Zealand,236832,247.35,False
Senior anything,2001,5.0,Thriller,Monique Herring,83,French,963.28,"Knight, Henderson and Harris",Alicia Weeks,Charles Scott,Jamaica,854903,53.58,True
Raise professor,1974,5.4,Thriller,Joseph Russell,152,English,805.24,Butler-Cain,Rick Jackson,Brittany Richmond,Faroe Islands,901235,150.43,True
Material,1970,10.0,Mystery,Paul Martinez,111,French,286.25,"Baldwin, Smith and Moore",John Williams,Cory Garcia,Albania,784034,190.06,True
Pattern animal forward,1990,1.4,Horror,Leonard Murphy,115,Mandarin,884.79,Warren and Sons,Mrs. Sandra Smith,Linda Garcia,Greenland,602813,40.19,True
City central test,2011,6.6,Action,Robert Lee PhD,131,Japanese,414.53,Long LLC,Sara White,Austin Simmons,Barbados,198838,60.49,False
Allow expert,1974,4.0,Animation,Aaron Howard,149,Japanese,156.05,"Moss, Richardson and Green",Catherine Harris,Gabriel Fry,Cocos (Keeling) Islands,961920,15.45,False
Positive experience full,2014,1.3,Thriller,Brian Stone,134,English,926.7,"Clements, Beltran and Lloyd",Mary Martinez,Vanessa Powell,Gibraltar,758137,296.15,False
Inside little,2001,2.8,Animation,Ashley Roberson,87,Spanish,137.21,Compton-Lawson,Elizabeth Curtis,Samantha Yates,Austria,852365,98.17,False
Own offer guess,2014,6.9,Fantasy,Allison Miller,107,Korean,225.81,Smith-Fernandez,Anthony Swanson,William Taylor,Heard Island and McDonald Islands,247381,199.71,False
Role agree tonight,1978,2.4,Comedy,Sandra Smith,106,Korean,558.23,Johnson and Sons,Matthew Garza,Wendy Rush,Hungary,276614,223.02,False
Kind,2003,6.9,Comedy,Ashley Clements,163,Mandarin,859.23,Meza-Wright,Dominique Hayden,Danielle Clarke,Christmas Island,690870,32.72,True
Lead once them,1997,5.7,Drama,Victoria Williams,152,Spanish,915.14,Giles Ltd,Suzanne Jenkins,Jamie Dominguez,Togo,689687,27.95,True
Your view,1990,9.3,Romance,Stacy Warren,155,French,254.73,Martin-Peterson,Kimberly Ortiz,Angelica Ware,Cyprus,300382,259.76,False
Event,1977,4.0,Drama,Cheryl Keller,163,Korean,395.97,"Ruiz, Martinez and Bentley",Luke Cook,Kara Copeland,Lao People's Democratic Republic,382462,280.97,True
Student sit,2003,9.1,Action,Jason Molina,157,German,837.84,Baker-Johnson,Tiffany Benson,Amy Hill,Samoa,123739,114.81,False
Will resource,2003,2.4,Mystery,Jermaine Mcdowell,167,Korean,698.62,Potter PLC,Bethany Manning,Erika Pierce,Solomon Islands,289705,276.28,False
Whether,2023,7.0,Action,James Conley,116,Japanese,10.02,Castillo-Martin,Joel Torres,Russell Anderson,Saint Martin,5940,211.86,False
Republican run,2010,6.0,Fantasy,Anna Brown,102,English,928.64,Brown-Mendoza,Deborah Conrad,Melanie Christensen,Tanzania,999406,213.88,False
World risk,2003,9.4,Sci-Fi,Robert Blankenship,158,Mandarin,380.7,Evans Ltd,Cynthia Henson,Christopher Bright,Guyana,705300,142.36,True
Tell put public,1970,7.6,Comedy,Anna Brown,159,Japanese,398.05,"Banks, Simpson and Bowman",David Anthony,Jenna Harvey,Antarctica (the territory South of 60 deg S),279134,86.4,True
Well member respond,1985,1.5,Mystery,Heather Wolf,167,Mandarin,175.81,Carpenter Group,Mr. Robert Ward,Scott Lloyd,Northern Mariana Islands,306733,92.27,True
Type take,1990,9.0,Comedy,Mark Powers,82,French,282.86,"Le, Vasquez and Hughes",Hannah Hill,Mr. Jay Taylor,Kuwait,267716,237.17,False
Main energy whose,1991,9.0,Action,Dylan Torres,165,Mandarin,185.53,Byrd Inc,Tricia Richard,Carlos Vaughn,Lao People's Democratic Republic,104488,244.63,False
Include far,2020,1.3,Mystery,Zachary Evans,106,English,81.36,"Pearson, Perry and Contreras",Mitchell Vargas,Samuel Barnes,Romania,100470,62.1,False
Light fear summer,1975,6.8,Horror,Denise Larsen,87,German,324.52,Wall Group,Jessica Jones,Daniel Fisher,Costa Rica,117840,279.73,False
Town dog,2002,6.4,Sci-Fi,Matthew Martin,179,Korean,794.72,Ayala Inc,Melissa Garrett,April Allen,Burundi,598175,89.89,True
Among week,2001,6.2,Sci-Fi,Michael Hill,131,French,955.58,Barr Group,Matthew Peterson,Lori Lee,Ghana,200551,27.73,True
Difference sort,2014,7.2,Mystery,Daniel Compton,115,Hindi,930.51,"Stevens, Olsen and Johnson",Meghan Brown,Becky Wheeler,Gabon,9615,156.17,True
Create religious,1972,7.2,Romance,Tina Simon,129,Spanish,658.37,"Aguilar, Park and White",Timothy Rogers,Ashley Leach,Ukraine,318446,281.07,False
Most pay smile,1994,6.6,Sci-Fi,Ryan Alvarez,80,German,947.92,Mclaughlin-Moore,Mary Noble,Lisa Aguilar,Seychelles,477503,83.42,True
Price budget field,2022,7.1,Drama,Charles Harrington,91,German,783.35,"Foster, Navarro and Perez",Kyle Nelson,Aaron Olson,Niger,233236,63.53,False
Edge computer,1980,1.4,Comedy,Dale Moore,87,French,230.78,Riggs Inc,Bruce Stewart,Mrs. Jill Foster,Norfolk Island,860764,278.94,False
House mother light,2013,6.7,Action,Tracy Hamilton,118,German,819.33,"Cabrera, Lopez and Hill",Jeffrey Alexander,Brent Howard,Haiti,441533,20.81,True
Area go,1995,4.6,Mystery,Matthew Maynard,128,Mandarin,404.96,"Esparza, Hodges and White",Michael Fletcher,Curtis Graham,Falkland Islands (Malvinas),782988,1.52,True
Throw analysis find,1979,6.1,Action,Cody Wolf,119,Hindi,558.73,Shepard LLC,Teresa Macias,Charles Nelson,Wallis and Futuna,529733,140.48,False
Possible environment admit,1986,1.4,Animation,Arthur Moore,158,Japanese,496.56,"Salazar, Garcia and Valencia",Suzanne Lucas,John Hickman,Yemen,654332,93.56,False
Out piece,2023,2.1,Action,Matthew Martin,102,Japanese,213.04,Hernandez and Sons,Emma Rodriguez,Ronald Young,Northern Mariana Islands,559938,223.71,True
People pay direction,1990,6.1,Drama,Tara Johnson,173,German,593.93,"Salazar, Fischer and Watkins",Brenda Ross,Angela Steele,Belize,748822,4.4,True
Decade not,1995,9.0,Sci-Fi,Audrey Graham,129,Hindi,123.49,Silva-Ellis,Wayne Sheppard,Gregory Edwards,Guinea-Bissau,885311,161.0,False
Data house,1974,9.0,Drama,Anthony Gomez,116,Hindi,505.68,"Dyer, Lutz and Torres",Teresa Ford,Tyler Garza,Spain,847278,4.0,False
Show really step,1981,3.5,Animation,Lindsay Torres,166,Mandarin,350.44,Schmidt-Smith,Leah Myers,Patty Stokes,India,211952,192.13,True
Represent yet crime,1986,8.6,Action,Cindy Davis,103,French,968.28,Harper-Palmer,Kristen Savage,Jessica Nash,Mexico,926193,136.64,False
Side,2002,6.1,Thriller,Michael Hernandez,179,Spanish,734.61,"Wilson, Greene and Gregory",Brandon Burke,Christopher Gardner,Sudan,21719,204.13,True
Before example onto,1999,9.2,Thriller,Karen Martinez MD,120,Mandarin,108.75,Johnson LLC,Tony Castillo,Laura Martin,Guinea-Bissau,262611,18.74,False
Sport Democrat,2015,3.2,Drama,Nancy Thompson,145,English,442.78,Garcia-Williams,Joshua Nguyen,Glenn Mathews,Honduras,539501,163.47,True
Suggest few week,2022,9.1,Comedy,Yesenia Leon,105,French,216.52,Gibson PLC,Derrick Austin,Michael Smith,Comoros,929236,251.39,True
Wife before benefit,2024,5.0,Drama,Kathy Mcdaniel,154,English,367.32,White-Burch,Willie Turner,Pamela Brown,Azerbaijan,61619,65.52,True
Put vote executive,1991,8.5,Thriller,Jennifer Jones,98,Mandarin,59.48,Ford-Jensen,John Marks,Adam Smith,United Arab Emirates,358687,71.61,True
Could total,1992,4.8,Fantasy,Michael Hernandez,92,German,767.66,Ramirez and Sons,Stacey Matthews,Kayla Leach,Bahamas,813183,28.52,True
Threat same,1995,9.5,Sci-Fi,Cory Smith,110,Mandarin,709.62,Soto Group,Justin Bryan,Travis Sherman,Norway,598142,122.81,False
Within day,2006,4.0,Horror,Tracy Hamilton,85,Korean,460.29,Jackson-Sanders,Matthew Baxter,Heidi Carroll,Sweden,640822,297.09,False
Floor wear wait,2006,9.4,Comedy,Anna Freeman,91,Hindi,928.86,Miller PLC,Darlene Davis,Ann Jackson,Malaysia,980902,57.92,True
Tend,2000,1.2,Sci-Fi,Alyssa Crosby,150,German,428.6,Kim-Russell,William Willis,Christine Garrett,Christmas Island,162500,117.16,True
Remain,1977,1.7,Animation,Kyle Taylor,161,Mandarin,613.51,Thompson PLC,Derek Torres,Ryan Lee,Morocco,294372,106.72,False
Perhaps seem government,2017,2.2,Fantasy,Ashley Roberson,93,Hindi,333.74,Ramirez-Frederick,Teresa Lawrence,Tiffany Newton,Brunei Darussalam,730907,172.48,True
Suffer hotel,2022,5.2,Thriller,Jermaine Mcdowell,103,Japanese,430.91,"Rosales, Whitaker and Wilkins",Dr. Taylor Eaton,Patricia Barnes,Svalbard & Jan Mayen Islands,878595,164.56,False
Stand,2020,9.2,Mystery,Emily Allen,98,Japanese,398.49,Hawkins-Bennett,Diana Jordan,John Morse,French Polynesia,967344,207.47,False
Close attention serious,1981,9.6,Action,William Smith,164,Korean,705.07,James-Newton,Gerald Jackson,Kenneth Cooke,Luxembourg,16987,171.49,True
Conference before center,2001,3.8,Thriller,Michael Bauer,106,French,833.8,Hanson-Becker,Ricardo Madden,Scott Lee,Kenya,540608,27.17,True
Main,1982,2.6,Action,Heather Wolf,132,German,455.38,"Morris, Webb and Webb",Felicia Page,Mackenzie Kennedy,Guinea,635366,129.19,True
Prevent hour cover,1972,3.6,Sci-Fi,Yolanda Torres,119,Mandarin,789.48,Patterson PLC,Brandon Brown,Katie Holloway,Gambia,726754,221.22,True
Gas under because,1988,7.2,Sci-Fi,Christian Hayes,157,German,155.01,Hall-Villarreal,Rhonda King,Kristy Reyes,Afghanistan,981635,291.24,False
Market economy bank,1988,9.3,Mystery,Darren Terry,172,Korean,857.21,Davis Group,Sabrina Hunter,Gina Macdonald,Mauritania,181629,135.06,False
Air charge,1970,1.8,Action,Monica Jones,81,Japanese,977.86,Jimenez-Bautista,Nathaniel Clark,Timothy Garcia,Venezuela,637531,142.63,True
Plant feel line,2004,8.6,Thriller,Margaret Walker,80,Mandarin,913.73,Villarreal-Garcia,Ralph Bell,Dana Wright,Finland,678025,132.13,False
Despite anything,2014,7.9,Mystery,Brian Coleman,89,Korean,962.32,Williams-Thompson,Stephanie Webster,Susan Keller,Cocos (Keeling) Islands,648681,275.25,False
Central church choice,2019,2.2,Drama,Brian Stone,122,Mandarin,986.45,Rowland LLC,Michael Smith,Denise King,Montenegro,807558,72.39,True
Hear mission,1987,1.8,Sci-Fi,Angela Silva,139,English,324.93,Fletcher-Howell,Carrie Daniels,Robert Cummings,Heard Island and McDonald Islands,640179,242.63,True
Attention item work,2013,2.4,Mystery,Melissa Fisher,94,English,329.42,Franco Ltd,Paige Farmer,Shari Mckinney,Jordan,170520,290.41,False
Woman citizen room,2000,8.6,Mystery,Cody Wolf,130,Hindi,795.03,Smith-Petty,Mark Pham,Traci Gonzalez,Malta,205718,27.16,False
Mission region,1989,9.2,Romance,John Reese,95,German,210.23,Murphy Ltd,Danielle Williams,Amy Gates,Somalia,299466,297.77,False
With,1989,8.7,Horror,Alyssa Crosby,162,Mandarin,740.7,Reyes-Powell,Amanda Shaw,Lisa Soto,Albania,682761,5.69,True
Language summer,1992,6.0,Action,Denise Larsen,176,Korean,286.74,Reynolds Group,Julie Kirk,Rachel Miller,Guadeloupe,766223,118.71,True
Kind your strong assume,1974,4.7,Horror,Charles Evans,89,Mandarin,552.16,Henry Inc,Timothy Smith,Teresa Vance,Slovenia,822375,69.28,False
Action ever money,1991,5.8,Fantasy,Darren Terry,176,Korean,297.48,"Bray, Fisher and Fischer",Samuel Case,Sean Carr,Indonesia,235519,264.22,True
Cover both,2022,8.1,Animation,Joseph Chapman,134,Spanish,574.23,"Nichols, Day and Rivera",Heather Good,Tiffany Price,Australia,971961,40.97,False
Throughout environment,2000,5.3,Mystery,Mark Singh,120,Spanish,637.22,Ramirez-Hurst,Jennifer Williams,James Moon,Malaysia,403271,251.12,True
Most six certainly,2018,7.2,Action,Kathy Mcdaniel,129,German,759.18,King LLC,Katherine Martin,Russell Le,Antigua and Barbuda,805968,261.38,True
Station industry,2005,5.1,Sci-Fi,Stanley Morris,143,English,365.74,Barton-Smith,Eric Castillo,Jeffrey Walker,Congo,640120,2.52,True
Tonight live take,1975,2.2,Comedy,Dr. Tammy Moore,168,Mandarin,744.18,"Harmon, Smith and Miller",Joyce Harris,Tony Smith,Congo,867807,146.66,False
Nothing last,1979,9.7,Mystery,Kenneth Graves,133,German,900.32,"Moreno, Sims and Ortiz",Christopher Gilbert,Damon Perez,Micronesia,463284,217.49,True
Full cause,1971,1.6,Animation,Jessica Nichols,137,Japanese,3.18,"Harris, Mcpherson and Haas",Lori Soto,Carolyn Boyd,Tajikistan,923918,28.05,False
Evidence executive,2013,2.0,Comedy,Jeremy Price,148,German,255.69,Rodriguez Ltd,Alexis Schmidt,Joseph Allen,Saint Kitts and Nevis,112527,78.68,False
Treat begin stay,2018,7.3,Thriller,Yolanda Torres,170,Korean,145.45,Castro-Owens,James Dennis,Karen Monroe,Djibouti,105588,71.11,False
Relationship thank,2021,9.0,Action,Andre Mcdonald,114,French,214.02,Smith and Sons,Gavin Williams,Brett Cooper,Chad,413707,132.61,False
Find wonder,1980,6.4,Fantasy,Yesenia Leon,167,English,838.66,"Nelson, Lloyd and Oconnor",Chris Williams,Audrey Odom,Sao Tome and Principe,533776,283.35,False
Maybe information,1986,5.1,Mystery,Kayla Gregory,121,Spanish,917.84,"Werner, Foster and Elliott",Matthew Lewis,Natalie Lee,Pakistan,604297,108.47,True
Reality environment already,2004,3.0,Animation,Monique Herring,162,Mandarin,61.34,Torres-Hendricks,Jennifer Hanna,John Davis,Lithuania,167379,268.08,False
Almost front much,2015,5.8,Sci-Fi,Denise Vargas,88,French,39.15,Villegas PLC,Christopher Alvarez,Kimberly Gardner,Niue,290683,87.5,True
Drive culture example,1999,8.3,Mystery,Daniel Compton,97,French,783.46,"Myers, Brown and Green",Gina Jenkins,Emily Jones,Zimbabwe,560294,107.37,False
Letter,1972,4.2,Thriller,Carrie Moreno,125,English,442.94,Lindsey Inc,Kathleen Hill,Penny Blanchard,New Zealand,976729,237.62,True
Worry,1970,5.0,Romance,Nicole Woods,81,French,335.4,Farrell-Pace,Martha Hood,Matthew Nelson,Colombia,242368,292.04,True
College actually response,1999,8.7,Comedy,Daniel Compton,102,French,661.55,"Willis, Barnett and Olson",Samantha Torres,Danielle Peterson,Thailand,641996,119.26,True
Memory never,2002,8.8,Fantasy,Yesenia Leon,120,Hindi,319.51,"Elliott, Mueller and Moore",Kimberly Rose,William Robinson MD,Sweden,777657,10.22,False
